"","country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"246","South Korea","KR",2022-11-27,"Films",6,"20th Century Girl","N/A",6
"247","South Korea","KR",2022-11-27,"Films",7,"Papillon","N/A",2
"248","South Korea","KR",2022-11-27,"Films",8,"My Boss, My Teacher","N/A",2
"249","South Korea","KR",2022-11-27,"Films",9,"The Bad Guys","N/A",4
"250","South Korea","KR",2022-11-27,"Films",10,"The Noel Diary","N/A",1
"251","South Korea","KR",2022-11-27,"TV",1,"Reborn Rich","N/A",2
"252","South Korea","KR",2022-11-27,"TV",2,"Under the Queen's Umbrella","Under the Queen's Umbrella: Season 1",6
"253","South Korea","KR",2022-11-27,"TV",3,"Somebody","Somebody: Season 1",2
"254","South Korea","KR",2022-11-27,"TV",4,"Behind Every Star","Behind Every Star: Season 1",3
"255","South Korea","KR",2022-11-27,"TV",5,"I am Solo","I am Solo: Part 9 - Part 12",20
"256","South Korea","KR",2022-11-27,"TV",6,"Sword Snow Stride","Sword Snow Stride: Season 1",2
"257","South Korea","KR",2022-11-27,"TV",7,"Hospital Playlist","Hospital Playlist: Season 1",20
"258","South Korea","KR",2022-11-27,"TV",8,"Wednesday","Wednesday: Season 1",1
"259","South Korea","KR",2022-11-27,"TV",9,"Hospital Playlist","Hospital Playlist: Season 2",22
"260","South Korea","KR",2022-11-27,"TV",10,"Prison Playbook","Prison Playbook: Season 1",9
"261","South Korea","KR",2022-11-20,"Films",1,"Enola Holmes 2","N/A",3
"262","South Korea","KR",2022-11-20,"Films",2,"Falling for Christmas","N/A",2
"263","South Korea","KR",2022-11-20,"Films",3,"Lost Bullet 2","N/A",1
"264","South Korea","KR",2022-11-20,"Films",4,"Enola Holmes","N/A",2
"265","South Korea","KR",2022-11-20,"Films",5,"20th Century Girl","N/A",5
"266","South Korea","KR",2022-11-20,"Films",6,"My Love, My Bride","N/A",1
"267","South Korea","KR",2022-11-20,"Films",7,"My Boss, My Teacher","N/A",1
"268","South Korea","KR",2022-11-20,"Films",8,"The Wonder","N/A",1
"269","South Korea","KR",2022-11-20,"Films",9,"The Bad Guys","N/A",3
"270","South Korea","KR",2022-11-20,"Films",10,"Papillon","N/A",1
"271","South Korea","KR",2022-11-20,"TV",1,"Under the Queen's Umbrella","Under the Queen's Umbrella: Season 1",5
"272","South Korea","KR",2022-11-20,"TV",2,"Behind Every Star","Behind Every Star: Season 1",2
"273","South Korea","KR",2022-11-20,"TV",3,"Somebody","Somebody: Season 1",1
"274","South Korea","KR",2022-11-20,"TV",4,"I am Solo","I am Solo: Part 9 - Part 12",19
"275","South Korea","KR",2022-11-20,"TV",5,"Prison Playbook","Prison Playbook: Season 1",8
"276","South Korea","KR",2022-11-20,"TV",6,"Reborn Rich","N/A",1
"277","South Korea","KR",2022-11-20,"TV",7,"Hospital Playlist","Hospital Playlist: Season 1",19
"278","South Korea","KR",2022-11-20,"TV",8,"Sword Snow Stride","Sword Snow Stride: Season 1",1
"279","South Korea","KR",2022-11-20,"TV",9,"Hospital Playlist","Hospital Playlist: Season 2",21
"280","South Korea","KR",2022-11-20,"TV",10,"Brave Detectives","Brave Detectives: Season 2",1
"281","South Korea","KR",2022-11-13,"Films",1,"Enola Holmes 2","N/A",2
"282","South Korea","KR",2022-11-13,"Films",2,"20th Century Girl","N/A",4
"283","South Korea","KR",2022-11-13,"Films",3,"Enola Holmes","N/A",1
"284","South Korea","KR",2022-11-13,"Films",4,"The Takeover","N/A",2
"285","South Korea","KR",2022-11-13,"Films",5,"All Quiet on the Western Front","N/A",3
"286","South Korea","KR",2022-11-13,"Films",6,"The Bad Guys","N/A",2
"287","South Korea","KR",2022-11-13,"Films",7,"Blood Diamond","N/A",1
"288","South Korea","KR",2022-11-13,"Films",8,"Falling for Christmas","N/A",1
"289","South Korea","KR",2022-11-13,"Films",9,"The Firm","N/A",1
"290","South Korea","KR",2022-11-13,"Films",10,"Good Morning","N/A",1
"291","South Korea","KR",2022-11-13,"TV",1,"Under the Queen's Umbrella","Under the Queen's Umbrella: Season 1",4
"292","South Korea","KR",2022-11-13,"TV",2,"Prison Playbook","Prison Playbook: Season 1",7
